left_hand,mark_left,mark_right,right_hand
330.183013916,295.313830137,422.300403081,332.148300171
330.162872314,293.836420952,422.382346138,330.604446411
330.125183105,292.344086799,422.455601556,329.13293457
330.309906006,290.83699996,422.520117731,328.514633179
330.882171631,289.315343661,422.575840542,327.634918213
331.639312744,287.779312492,422.622713298,326.36378479
331.799331665,286.229112847,422.660676696,324.100418091
331.668243408,284.664963359,422.689668777,322.247268677
332.078811646,283.087095357,422.709624882,320.831100464
332.605957031,281.495753321,422.720477611,319.341506958
334.72883606,279.891195346,422.722156786,316.776763916
335.184677124,278.273693619,422.714589407,314.738494873
336.231933594,276.643534895,422.697699625,312.076339722
337.549621582,275.001020986,422.671408699,308.29473877
339.420822144,273.346469256,422.635634973,305.547348022
340.8019104,271.680213115,422.59029384,303.95072937
344.518829346,270.002602532,422.535297723,302.067230225
346.21232605,268.314004538,422.470556047,300.841201782
352.265701294,266.614803742,422.395975221,298.867019653
357.679367065,264.905402851,422.311458621,296.323974609
363.189926147,263.186223191,422.216906583,294.189224243
367.458084106,261.457705229,422.112216387,289.68888855
371.874938965,259.720309095,421.997282263,281.778320312
376.817710876,257.974515115,421.871995384,270.862747192
378.986968994,256.220824328,421.736243883,258.403961182
380.551834106,254.459759012,421.589912855,246.288146973
381.701301575,252.691863205,421.432884388,234.078887939
387.718811035,250.917703215,421.26503758,222.301300049
390.423316956,249.137868138,421.086248578,213.676208496
390.808929443,247.352970353,420.896390617,208.549591064
388.969329834,245.56364602,420.695334072,206.42477417
380.026138306,243.770555561,420.482946512,208.130004883
370.8540802,241.974384131,420.259092774,213.088562012
364.402420044,240.175842074,420.023635038,215.855682373
355.947418213,238.375665361,419.776432916,217.814147949
348.093658447,236.574616012,419.517343555,218.656829834
341.26651001,234.77348249,419.246221751,219.728515625
334.378479004,232.973080083,418.962920071,219.079284668
331.990127563,231.174251244,418.667289001,216.945678711
321.808624268,229.377865914,418.359177093,204.424072266
319.202453613,227.584821808,418.03843114,197.07043457
318.006469727,225.796044662,417.704896367,189.309204102
317.809295654,224.012488446,417.358416625,183.483062744
321.460037231,222.235135531,416.998834627,173.408691406
328.273223877,220.464996814,416.62599218,162.889709473
336.389526367,218.703111787,416.239730453,155.974639893
347.415374756,216.950548559,415.839890257,151.856933594
358.036712646,215.208403812,415.426312354,150.0
367.726486206,213.477802706,414.998837785,150.0
370.441879272,211.759898708,414.557308221,150.239624023
368.244979858,210.055873351,414.101566343,156.778137207
364.346130371,208.366935928,413.631456244,168.325805664
361.003128052,206.694323091,413.146823863,178.926116943
355.496612549,205.03929838,412.64751744,193.19744873
350.908203125,203.403151651,412.133388007,204.822723389
342.810714722,201.787198416,411.604289901,215.463165283
335.624786377,200.192779087,411.060081315,223.686828613
328.320541382,198.621258109,410.500624873,227.52722168
319.307617188,197.074022988,409.92578824,230.113677979
316.485473633,195.552483211,409.335444766,227.602478027
321.141403198,194.058069042,408.729474156,218.503540039
330.086288452,192.592230199,408.107763177,208.479888916
337.707580566,191.156434405,407.4702064,202.841583252
343.4815979,189.752165811,406.81670697,198.313995361
348.018112183,188.380923281,406.147177407,192.392730713
352.443115234,187.044218548,405.461540446,184.187194824
355.167053223,185.743574221,404.759729905,179.544921875
360.713287354,184.48052166,404.041691577,176.010253906
370.315704346,183.256598698,403.307384164,171.866577148
379.893241882,182.073347225,402.556780225,166.905822754
385.281158447,180.932310623,401.789867165,164.623718262
386.952903748,179.835031055,401.006648233,162.969543457
387.608589172,178.783046608,400.207143552,162.348754883
387.921005249,177.777888295,399.391391169,162.16796875
387.874732971,176.821076915,398.55944811,162.172668457
388.10925293,175.914119774,397.711391462,162.18069458
390.605995178,175.058507277,396.847319455,162.106536865
392.358551025,174.255709383,395.967352551,161.953155518
398.606719971,173.507171953,395.071634532,161.505981445
400.039169312,172.814312971,394.160333588,161.441955566
402.114761353,172.178518671,393.233643389,161.396392822
404.529800415,171.601139568,392.291784145,161.387817383
404.889183044,171.083486399,391.335003642,161.960906982
404.70778656,170.626826011,390.363578251,165.659545898
404.259063721,170.232377177,389.377813897,170.227386475
403.929260254,169.901306385,388.378046996,176.316223145
403.756446838,169.634723597,387.364645327,179.536560059
403.648078918,169.43367801,386.338008859,181.243041992
403.573646545,169.299153826,385.298570503,181.815460205
400.945968628,169.232066059,384.246796796,182.398956299
399.904197693,169.233256403,383.183188498,182.777740479
394.69644928,169.303489171,382.108281101,182.741210938
389.608421326,169.443447341,381.022645237,182.229888916
387.48487854,169.653728731,379.926886978,179.988189697
387.265708923,169.934842317,378.821648026,178.453491211
387.144485474,170.28720473,377.70760577,177.84375
387.063148499,170.711136955,376.585473218,176.555145264
386.637168884,171.20686125,375.455998794,173.696258545
385.476394653,171.774498318,374.319965985,171.568267822
384.140899658,172.414064751,373.178192837,168.689849854
382.603027344,173.12547077,372.0315313,167.908935547
380.366622925,173.908518287,370.880866414,167.522064209
378.436149597,174.762899301,369.727115322,167.553894043
377.927833557,175.688194661,368.57122613,168.846923828
375.911949158,176.683873201,367.414176589,170.414489746
372.375404358,177.749291272,366.256972618,172.122283936
369.120300293,178.883692678,365.100646653,173.750030518
367.228851318,180.086209033,363.946255837,175.349517822
364.443115234,181.355860546,362.794880046,177.848999023
358.953887939,182.691557235,361.647619763,180.315155029
356.896820068,184.092100579,360.505593796,183.151977539
354.697753906,185.556185609,359.36993686,185.20602417
351.966888428,187.082403424,358.241797021,187.346343994
350.90423584,188.669244143,357.122333021,189.329772949
349.671920776,190.315100262,356.012711487,193.868621826
348.774154663,192.018270423,354.914104046,199.971496582
347.779067993,193.776963567,353.827684347,205.594390869
346.842010498,195.589303456,352.75462502,209.350585938
346.01713562,197.453333536,351.696094575,211.771392822
345.523986816,199.36702213,350.653254266,214.052429199
344.696166992,201.328267915,349.627254924,216.970703125
344.02482605,203.334905672,348.619233797,218.451782227
343.578811646,205.38471226,347.630311397,219.14163208
342.982406616,207.475412792,346.661588373,219.68460083
337.83102417,209.604686977,345.714142442,224.989715576
333.172103882,211.770175587,344.78902538,231.809326172
327.009094238,213.969487012,343.887260093,237.101928711
325.647903442,216.200203878,343.009837795,237.984466553
325.578643799,218.459889668,342.157715298,233.080718994
326.955184937,220.746095337,341.331812428,226.674957275
327.735900879,223.056365858,340.533009591,221.738952637
328.44380188,225.388246686,339.762145494,216.848815918
328.650512695,227.73929009,339.020015035,213.796325684
329.777404785,230.107061331,338.307367373,212.198455811
332.787231445,232.489144649,337.62490418,212.230865479
337.871582031,234.883149037,336.973278099,213.047180176
341.977401733,237.28671377,336.353091393,213.679534912
344.671386719,239.697513669,335.764894807,213.834625244
345.224319458,242.11326408,335.20918663,213.160705566
345.511138916,244.531725548,334.686411976,212.384155273
345.646438599,246.950708169,334.196962269,211.839782715
345.72076416,249.368075617,333.741174933,211.93927002
345.745315552,251.78174882,333.319333292,212.740325928
345.359436035,254.189709298,332.931666667,214.636962891
344.854232788,256.590002139,332.578350666,215.52746582
344.370101929,258.980738632,332.259507665,216.124328613
344.027236938,261.360098541,331.975207464,216.381225586
343.096206665,263.72633203,331.725468115,216.651184082
340.826889038,266.077761253,331.510256913,218.046020508
338.976577759,268.412781599,331.329491537,219.861724854
336.902374268,270.729862623,331.183041328,222.07800293
336.295471191,273.027548653,331.070728695,223.378356934
335.889923096,275.304459105,330.992330646,225.254577637
335.375320435,277.559288506,330.947580409,228.632019043
333.410049438,279.790806251,330.936169163,235.778747559
332.739776611,281.997856101,330.957747833,240.208099365
331.392593384,284.179355443,331.011928967,247.134918213
330.432800293,286.334294333,331.098288663,252.076644897
329.873718262,288.461734333,331.216368543,257.323150635
329.763076782,290.56080716,331.365677761,262.38760376
329.682891846,292.630713176,331.545695039,267.316970825
329.696456909,294.670719716,331.755870711,270.666702271
329.739196777,296.680159296,331.995628775,274.765426636
329.703323364,298.65842769,332.264368934,279.844894409
329.770507812,300.604981925,332.561468634,284.145797729
329.80619812,302.519338176,332.886285067,286.858688354
329.82850647,304.401069604,333.238157156,289.652679443
329.843811035,306.24980413,333.616407495,292.7940979
329.852493286,308.065222179,334.020344257,294.45451355
329.861618042,309.847054388,334.449263045,295.912414551
329.867111206,311.5950793,334.902448696,297.021728516
329.873153687,313.309121055,335.37917703,299.052810669
329.876968384,314.989047083,335.878716534,300.548080444
329.880264282,316.634765818,336.400329986,301.895599365
329.883163452,318.246224427,336.943276015,303.80305481
329.885726929,319.823406579,337.506810589,305.410919189
329.890182495,321.366330244,338.090188441,307.48588562
329.89604187,322.875045538,338.692664415,309.902099609
329.901229858,324.349632624,339.313494751,313.012374878
329.901123047,325.790199657,339.951938291,318.762481689
329.94229126,327.196880795,340.607257623,323.503753662
329.985336304,328.569834264,341.278720146,326.642578125
330.105728149,329.909240495,341.965599072,330.612197876
330.311203003,331.215300321,342.667174354,335.379608154
330.457855225,332.488233243,343.382733551,340.388687134
330.575454712,333.728275767,344.111572626,344.398513794
330.844680786,334.935679807,344.85299668,347.216705322
330.868041992,336.110711161,345.606320622,348.993225098
330.885025024,337.253648057,346.370869781,349.718276978
330.886611938,338.364779763,347.145980461,349.931518555
330.88041687,339.444405273,347.931000434,349.720214844
330.875686646,340.492832056,348.725289387,348.58152771
330.937850952,341.51037487,349.52821931,347.365478516
332.052261353,342.497354648,350.339174842,346.155517578
337.397598267,343.454097441,351.157553563,345.191589355
339.743728638,344.380933425,351.982766248,344.701400757
340.656356812,345.27819597,352.814237071,344.644393921
340.787597656,346.146220762,353.651403779,344.62928772
340.836700439,346.98534499,354.493717818,344.213607788
339.071685791,347.795906576,355.340644434,343.893798828
323.638381958,348.57824347,356.191662726,343.978179932
309.925888062,349.332692982,357.046265688,344.90071106
303.861251831,350.05959117,357.903960201,346.745422363
291.922225952,350.759272274,358.764267012,349.029922485
281.365966797,351.432068191,359.626720686,352.125976562
269.267288208,352.07830799,360.490869526,356.908966064
256.499664307,352.698317472,361.356275483,362.483505249
245.245651245,353.292418763,362.222514038,366.927185059
237.372619629,353.860929948,363.089174072,368.982666016
232.429260254,354.40416473,363.95585771,371.141220093
225.922119141,354.922432129,364.822180166,372.954193115
221.332489014,355.416036212,365.687769554,376.000205994
500.0,355.885275841,366.552266708,379.92792511
500.0,356.330444461,367.415324971,384.722122192
500.0,356.751829903,368.276609991,384.230957031
500.0,357.149714219,369.135799499,372.918884277
248.373474121,357.524373529,369.992583079,358.890640259
263.057662964,357.876077899,370.84666194,343.057876587
272.751678467,358.205091231,371.69774867,331.680084229
278.637161255,358.511671177,372.545567001,324.176956177
281.908508301,358.796069065,373.38985155,320.438293457
283.985855103,359.058529842,374.23034758,319.362258911
285.064743042,359.299292035,375.066810738,318.53578186
285.570236206,359.518587718,375.899006804,317.683853149
288.481048584,359.716642501,376.726711437,316.445968628
304.238616943,359.893675525,377.549709916,313.09135437
325.074890137,360.049899467,378.367796885,309.520233154
337.915466309,360.185520558,379.180776095,308.234786987
347.774154663,360.300738609,379.988460156,306.979705811
352.201446533,360.395747044,380.790670275,304.305084229
354.742355347,360.470732945,381.587236013,300.792190552
357.466796875,360.5258771,382.377995028,296.24180603
360.873626709,360.561354056,383.162792835,289.263717651
364.312332153,360.577332185,383.941482555,283.428924561
366.27255249,360.573973752,384.713924679,276.86706543
367.720977783,360.551434981,385.479986828,271.365859985
368.987213135,360.509866139,386.239543515,265.601547241
369.58946228,360.449411613,386.992475919,260.733261108
370.908554077,360.370209996,387.738671651,257.291976929
372.737785339,360.272394177,388.478024535,254.38117981
373.052139282,360.15609143,389.210434384,253.091156006
372.297187805,360.021423509,389.935806785,252.642730713
372.324043274,359.868506744,390.654052886,250.091567993
375.394699097,359.697452145,391.365089189,246.366516113
379.160224915,359.508365496,392.068837343,242.565704346
385.295646667,359.301347465,392.765223947,239.209350586
386.206069946,359.076493703,393.45418035,238.545135498
386.772163391,358.833894956,394.135642462,238.32321167
386.338699341,358.573637171,394.809550567,238.470367432
386.691856384,358.295801604,395.475849135,238.553863525
